review_id,text,rating,date,category,baseline_category,genai_category,notes,confidence,rationale
c86488d2-62da-461c-b8fd-776f4817fd00,product quality 👍,5,2026-09-10 11:37:24,Other / Not Return-Related,"Defective, Damaged & Counterfeit Items",Other / Not Return-Related,Positive praise caught by keyword filter.,0.98,Positive praise caught by keyword filter.
71171592-60f5-43fd-9b34-c99a33ba6bd5,this is best app. good quality products in this app,5,2026-09-10 11:29:40,Other / Not Return-Related,"Defective, Damaged & Counterfeit Items",Other / Not Return-Related,Positive praise caught by keyword filter.,0.98,Positive praise caught by keyword filter.
8adfadd0-0ea5-4e15-bfdd-309e0afdfe5b,"now days we faced worst service from myntra, wrong tag number issue . Myntra internal process is worst customer care doesnt understand issue and no clarity. from last one month am trying to exchange the shoe but dye to mismatch in tag pickup agent couldnt pickup the shoe... same issue faced by 3-4 guys from my company... no resolution",1,2026-09-10 11:24:05,Incorrect / Wrong Item Delivered,Incorrect / Wrong Item Delivered,Incorrect / Wrong Item Delivered,Mismatched tag attached by seller/warehouse blocked return pickup (Precedence 1 / Rule 3).,0.92,Mismatched tag attached by seller/warehouse blocked return pickup (Precedence 1 / Rule 3).
cadbf994-bbbf-42de-bf99-641953966091,Myntra bahut pyari app hai ispe shopping and return bahut aasan hai aur iske quality bahut pyari hoti hai thank you so much Myntra,5,2026-09-10 11:14:51,Other / Not Return-Related,"Defective, Damaged & Counterfeit Items",Other / Not Return-Related,Positive praise caught by keyword filter.,0.98,Positive praise caught by keyword filter.
dc843df8-06f6-464e-9f77-76244e8a5cd2,the product they send are really very impressive and material also feels like very good quality,5,2026-09-10 11:14:01,Other / Not Return-Related,"Defective, Damaged & Counterfeit Items",Other / Not Return-Related,Positive praise caught by keyword filter.,0.98,Positive praise caught by keyword filter.
c8e364b2-c816-43b4-959f-26b4f1b9f22c,bakwas app mai na shampoo order Kiya tha damaged product aya exchange ka liya kiya vo b nhi 3 bar contact kiya myntra valo sa ya inka pata nhi konsa business hai mai sabko ya he suggests karu gi myntra use nhi karu,1,2026-09-10 10:30:01,"Defective, Damaged & Counterfeit Items","Defective, Damaged & Counterfeit Items","Defective, Damaged & Counterfeit Items","Product arrived damaged, defective, counterfeit, or with severe quality defect (Precedence 2 / Rule 2).",0.94,"Product arrived damaged, defective, counterfeit, or with severe quality defect (Precedence 2 / Rule 2)."
527d2cf1-7178-42f9-8bee-596c1e666255,exclusive discounts and products quality are awesome also if I say about delivery partner's their too good too polite,5,2026-09-10 10:17:11,Other / Not Return-Related,"Defective, Damaged & Counterfeit Items",Other / Not Return-Related,Positive praise caught by keyword filter.,0.98,Positive praise caught by keyword filter.
7d4ec802-5376-4ab0-a2e6-1abb94458760,day by day product quality is very poor 😕 disappointed 😞,2,2026-09-10 10:06:22,"Defective, Damaged & Counterfeit Items","Defective, Damaged & Counterfeit Items","Defective, Damaged & Counterfeit Items","Product arrived damaged, defective, counterfeit, or with severe quality defect (Precedence 2 / Rule 2).",0.94,"Product arrived damaged, defective, counterfeit, or with severe quality defect (Precedence 2 / Rule 2)."
3c3e9fa5-d4cd-4a73-a52e-b067cd1bf1a3,good quality,5,2026-09-10 10:02:52,Other / Not Return-Related,"Defective, Damaged & Counterfeit Items",Other / Not Return-Related,Positive praise caught by keyword filter.,0.98,Positive praise caught by keyword filter.
f228c428-c284-49a8-9e05-020a29989c6d,need trusted & quality product !!! just go with myntra,5,2026-09-10 09:00:49,Other / Not Return-Related,"Defective, Damaged & Counterfeit Items",Other / Not Return-Related,Positive praise caught by keyword filter.,0.98,Positive praise caught by keyword filter.
a65a16fd-9324-4954-aaea-73deff562583,Product quality nice,5,2026-09-10 07:41:16,Other / Not Return-Related,"Defective, Damaged & Counterfeit Items",Other / Not Return-Related,Positive praise caught by keyword filter.,0.98,Positive praise caught by keyword filter.
7ebbd527-b0ce-49e6-8ea7-16a177434ab3,myntra means trust and quality,5,2026-09-10 06:40:40,Other / Not Return-Related,"Defective, Damaged & Counterfeit Items",Other / Not Return-Related,Positive praise caught by keyword filter.,0.98,Positive praise caught by keyword filter.
c22d2855-e709-47a9-98b5-5aa950315759,why do they take days to refund man,1,2026-09-10 01:38:33,Refund Processing & Settlement Disputes,Refund Processing & Settlement Disputes,Refund Processing & Settlement Disputes,"Financial settlement dispute: delayed, uncredited, or deducted refund post-return/cancellation (Precedence 5 / Rule 5).",0.95,"Financial settlement dispute: delayed, uncredited, or deducted refund post-return/cancellation (Precedence 5 / Rule 5)."
5785d386-90f9-4527-a1d2-0e517b096b30,"way better than amazon in terms of speed of delivery, return pick up and refund.",5,2026-09-10 00:57:43,Other / Not Return-Related,Return & Exchange Logistics & QC Friction,Other / Not Return-Related,Positive praise caught by keyword filter.,0.98,Positive praise caught by keyword filter.
e7aa8cb9-34ab-4694-ae42-b53d513c21b7,Good quality products always,5,2026-09-10 00:17:43,Other / Not Return-Related,"Defective, Damaged & Counterfeit Items",Other / Not Return-Related,Positive praise caught by keyword filter.,0.98,Positive praise caught by keyword filter.
2e2153fb-0bd2-4ec2-8292-ec933bd48a05,good offers with good quality,4,2026-09-09 23:40:32,Other / Not Return-Related,"Defective, Damaged & Counterfeit Items",Other / Not Return-Related,Positive praise caught by keyword filter.,0.98,Positive praise caught by keyword filter.
c65f2454-6e56-45e6-afe4-fb6ed7f88ddd,I like the returny policy of Myntra,4,2026-09-09 23:40:17,Other / Not Return-Related,Unclassified,Other / Not Return-Related,Positive praise caught by keyword filter.,0.98,Positive praise caught by keyword filter.
40b719d1-2cb6-4fcf-ac13-995b89a2126d,Dear Guys please don't buy any product on this application if you cancelled your order then you will not get a money refund so please i request everyone please 🙏 not buy any product on this sideeee and customer care service worst service ever they are not attending a single call .,1,2026-09-09 22:49:30,Refund Processing & Settlement Disputes,Refund Processing & Settlement Disputes,Refund Processing & Settlement Disputes,"Financial settlement dispute: delayed, uncredited, or deducted refund post-return/cancellation (Precedence 5 / Rule 5).",0.95,"Financial settlement dispute: delayed, uncredited, or deducted refund post-return/cancellation (Precedence 5 / Rule 5)."
74a9abf0-527f-46aa-b77f-7cb4863514b9,"Very disappointing experience with Myntra’s customer service and return/refund process. The customer support is extremely unhelpful, and getting a proper resolution for a genuine issue feels unnecessarily difficult. The return process is poorly managed, and refunds are not handled transparently or within a reasonable timeframe. Instead of resolving the customer’s concern, the support team keeps providing repetitive responses without taking ownership of the issue.",1,2026-09-09 22:33:30,Refund Processing & Settlement Disputes,Refund Processing & Settlement Disputes,Refund Processing & Settlement Disputes,"Financial settlement dispute: delayed, uncredited, or deducted refund post-return/cancellation (Precedence 5 / Rule 5).",0.95,"Financial settlement dispute: delayed, uncredited, or deducted refund post-return/cancellation (Precedence 5 / Rule 5)."
26780812-1ea1-42d9-a570-f85ae89a2abe,my experience related to this app is very good I the quality of things they sell is very good,5,2026-09-09 22:01:55,Other / Not Return-Related,"Defective, Damaged & Counterfeit Items",Other / Not Return-Related,Positive praise caught by keyword filter.,0.98,Positive praise caught by keyword filter.
40c36970-b3c4-4561-966c-d313f00fdf35,ye fraud and cheter hai wrong item delivery karte hai,1,2026-09-09 21:59:34,Incorrect / Wrong Item Delivered,Incorrect / Wrong Item Delivered,Incorrect / Wrong Item Delivered,"Fulfillment error: wrong product, style, color, or brand delivered (Precedence 1 / Rule 3).",0.96,"Fulfillment error: wrong product, style, color, or brand delivered (Precedence 1 / Rule 3)."
707a2144-c26d-4dcb-aa8d-dd884b831137,"very good product, very good quality, comfortable product.",5,2026-09-09 21:35:28,Other / Not Return-Related,"Defective, Damaged & Counterfeit Items",Other / Not Return-Related,Positive praise caught by keyword filter.,0.98,Positive praise caught by keyword filter.
a086593f-c988-4f0d-8d4b-480aa01a1c7a,"India's best fashion app for top brands, trendy clothes, and huge sales with a smooth UI, though doorstep returns can be strict and customer support is heavily chatbot-based.",5,2026-09-09 21:27:05,Other / Not Return-Related,Other / Not Return-Related,Other / Not Return-Related,Positive praise caught by keyword filter.,0.98,Positive praise caught by keyword filter.
58ef2f02-97e8-490b-81d3-0795a34023a7,"best products,wide range ,best quality",5,2026-09-09 21:25:40,Other / Not Return-Related,"Defective, Damaged & Counterfeit Items",Other / Not Return-Related,Positive praise caught by keyword filter.,0.98,Positive praise caught by keyword filter.
74b4c7d9-5ddf-4645-9379-ddf15aa36455,nice quality,5,2026-09-09 20:44:44,Other / Not Return-Related,"Defective, Damaged & Counterfeit Items",Other / Not Return-Related,Positive praise caught by keyword filter.,0.98,Positive praise caught by keyword filter.
e10ade33-6059-4861-84b6-fb2565e4dc76,service quality is continuously degradating . long wait on calls continuously fake attempt of delivery but no solution.,1,2026-09-09 20:42:52,Other / Not Return-Related,"Defective, Damaged & Counterfeit Items",Other / Not Return-Related,Forward delivery attempt and call center grievance.,0.9,Forward delivery attempt and call center grievance.
bff16678-d102-4345-a4d2-9d50b70860b6,Nice Quality 👍,5,2026-09-09 20:41:20,Other / Not Return-Related,"Defective, Damaged & Counterfeit Items",Other / Not Return-Related,Positive praise caught by keyword filter.,0.98,Positive praise caught by keyword filter.
